"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\dashboard\pages\users\users.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\dashboard\pages\users\users.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\dashboard\pages\view-transition\view-transition.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\dashboard\pages\view-transition\view-transition.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\dashboard\pages\view-transition\view-transition.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\diagrammer\diagrammer.component.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\diagrammer\diagrammer.component.html", "HTML", 0, 0, 0, 0, 0, 0, 76, 0, 10, 3, 89
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\diagrammer\diagrammer.component.ts", "TypeScript", 0, 0, 0, 678, 0, 0, 0, 0, 155, 93, 926
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\diagrammer\helpers\shapes.ts", "TypeScript", 0, 0, 0, 266, 0, 0, 0, 0, 0, 8, 274
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\components\body-main\body-main.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
