Date : 2024-06-06 14:55:28
Directory : c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1
Total : 89 files,  17761 codes, 249 comments, 433 blanks, all 18443 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\prueba.component.ts                                       | TypeScript         |         33 |          0 |          7 |         40 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\initial.service.spec.ts                          | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\initial.service.ts                               | TypeScript         |         49 |          6 |         14 |         69 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\stencil.service.spec.ts                          | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\stencil.service.ts                               | TypeScript         |        352 |          1 |          6 |        359 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\shapes\shapes.ts                                          | TypeScript         |        266 |          1 |         10 |        277 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\chat.service.ts                                         | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\diagrammer.service.ts                                   | TypeScript         |         82 |          7 |         20 |        109 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\firebase.config.ts                                      | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\home.service.ts                                         | TypeScript         |         94 |          3 |         13 |        110 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\users.service.ts                                        | TypeScript         |         37 |          1 |          6 |         44 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\services\websocket.service.ts                                    | TypeScript         |         29 |          6 |          8 |         43 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\heavy-loaders\heavy-loaders-fast.component.ts             | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\heavy-loaders\heavy-loaders-slow.component.ts             | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\heavy-loaders\user-loader.component.ts                    | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.css                         | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.html                        | HTML               |         44 |         14 |          2 |         60 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.spec.ts                     | TypeScript         |         18 |          0 |          8 |         26 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\side-menu\side-menu.component.ts                          | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\shared\title\title.component.ts                                  | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\SVG1.svg                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\fb.svg                                                        | XML                |          4 |          0 |          0 |          4 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\ig.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\p1.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\p2.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\p3.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\twitter.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\environments\environment.prod.ts                                     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\environments\environment.ts                                          | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\index.html                                                           | HTML               |         13 |          0 |          3 |         16 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\main.ts                                                              | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\styles.css                                                           | CSS                |         22 |          1 |          5 |         28 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tailwind.config.js                                                       | JavaScript         |          7 |          1 |          1 |          9 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tsconfig.app.json                                                        | JSON               |         14 |          1 |          1 |         16 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tsconfig.json                                                            | JSON with Comments |         33 |          1 |          1 |         35 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tsconfig.spec.json                                                       | JSON               |         16 |          1 |          1 |         18 |
| Total                                                                                                                                           |                    |     17,761 |        249 |        433 |     18,443 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
